Instância,best,media,tempo
ER-001_sft,385.0,385.00,0.07
ER-002_sft,140.0,140.00,0.08
ER-003_sft,115.0,115.00,0.18
ER-004_sft,64.0,64.00,0.08
ER-005_sft,113.0,113.00,0.15
ER-006_sft,75.0,75.00,0.18
ER-007_sft,46.0,46.00,0.11
ER-008_sft,64.0,64.00,0.18
ER-009_sft,38.0,38.00,0.12
ER-010_sft,323.0,323.00,0.74
ER-011_sft,243.0,243.00,1.79
ER-012_sft,166.0,166.00,1.95
ER-013_sft,132.0,132.00,1.28
ER-014_sft,91.0,91.00,1.23
ER-015_sft,88.0,88.20,1.28
ER-016_sft,80.0,80.00,1.26
ER-017_sft,71.0,71.00,1.24
ER-018_sft,54.0,54.00,0.86
ER-019_sft,400.0,400.00,4.34
ER-020_sft,232.0,232.00,4.31
ER-021_sft,121.0,121.00,4.88
ER-022_sft,105.0,105.00,5.71
ER-023_sft,95.0,95.00,5.83
ER-024_sft,111.0,111.00,4.76
ER-025_sft,75.0,75.00,3.88
ER-026_sft,76.0,76.60,4.48
ER-027_sft,61.0,61.00,3.80
ER-028_sft,359.0,359.00,13.91
ER-029_sft,201.0,201.00,14.41
ER-030_sft,165.0,165.00,19.42
ER-031_sft,142.0,142.00,19.32
ER-032_sft,151.0,151.30,16.23
ER-033_sft,111.0,111.00,17.56
ER-034_sft,109.0,109.00,16.99
ER-035_sft,80.0,80.00,13.16
ER-036_sft,77.0,77.00,13.23
ER-037_sft,397.0,397.10,35.75
ER-038_sft,222.0,222.50,28.90
ER-039_sft,187.0,187.00,31.16
ER-040_sft,159.0,159.00,43.63
ER-041_sft,133.0,133.00,34.40
ER-042_sft,102.0,102.00,23.15
ER-043_sft,112.0,112.20,41.40
ER-044_sft,90.0,90.00,36.64
ER-045_sft,101.0,101.00,27.17
ER-046_sft,401.0,401.00,59.83
ER-047_sft,283.0,283.80,68.19
ER-048_sft,186.0,186.00,74.24
ER-049_sft,158.0,158.00,71.54
ER-050_sft,140.0,140.90,88.29
ER-051_sft,114.0,114.00,52.23
ER-052_sft,115.0,115.00,67.25
ER-053_sft,107.0,107.00,61.66
ER-054_sft,103.0,104.30,60.48
ER-055_sft,465.0,465.10,94.22
ER-056_sft,252.0,252.20,108.64
ER-057_sft,196.0,196.50,114.55
ER-058_sft,158.0,158.00,124.48
ER-059_sft,134.0,134.00,100.46
ER-060_sft,136.0,136.40,129.08
ER-061_sft,122.0,123.40,109.07
ER-062_sft,106.0,106.20,112.75
ER-063_sft,119.0,120.10,99.36
ER-064_sft,414.0,414.00,184.97
ER-065_sft,241.0,241.00,177.45
ER-066_sft,210.0,210.60,178.72
ER-067_sft,174.0,174.00,187.92
ER-068_sft,147.0,147.10,224.97
ER-069_sft,147.0,147.10,221.51
ER-070_sft,135.0,135.30,191.29
ER-071_sft,120.0,120.00,166.70
ER-072_sft,112.0,112.90,120.93
ER-073_sft,443.0,443.80,198.95
ER-074_sft,255.0,255.30,255.08
ER-075_sft,220.0,220.70,321.69
ER-076_sft,191.0,191.90,331.37
ER-077_sft,163.0,163.80,300.27
ER-078_sft,149.0,150.20,343.34
ER-079_sft,141.0,142.30,249.61
ER-080_sft,133.0,134.40,280.91
ER-081_sft,125.0,125.40,226.04
ER-082_sft,492.0,492.60,499.38
ER-083_sft,282.0,282.10,374.66
ER-084_sft,213.0,213.10,487.89
ER-085_sft,181.0,181.80,476.86
ER-086_sft,187.0,187.50,471.99
ER-087_sft,151.0,151.70,524.07
ER-088_sft,143.0,144.10,450.99
ER-089_sft,137.0,139.20,438.09
ER-090_sft,138.0,138.90,381.47
ER-091_sft,498.0,498.40,461.93
ER-092_sft,288.0,288.50,637.13
ER-093_sft,245.0,245.30,754.32
ER-094_sft,207.0,208.40,646.12
ER-095_sft,180.0,181.40,698.61
ER-096_sft,166.0,166.70,693.18
ER-097_sft,154.0,154.80,628.55
ER-098_sft,149.0,150.20,612.35
ER-099_sft,144.0,144.10,504.67
ER-100_sft,543.0,543.00,755.41
ER-101_sft,335.0,335.90,961.83
ER-102_sft,233.0,233.30,904.21
ER-103_sft,209.0,210.10,864.51
ER-104_sft,202.0,202.70,1098.28
ER-105_sft,178.0,179.00,981.97
ER-106_sft,161.0,162.10,895.18
ER-107_sft,160.0,161.40,912.23
ER-108_sft,151.0,152.30,687.90
ER-109_sft,543.0,543.20,931.67
ER-110_sft,330.0,331.20,1245.67
ER-111_sft,248.0,249.00,1056.79
ER-112_sft,227.0,227.80,1233.35
ER-113_sft,203.0,203.60,1427.00
ER-114_sft,180.0,180.70,1532.64
ER-115_sft,173.0,173.90,1499.02
ER-116_sft,170.0,170.90,1293.74
ER-117_sft,171.0,172.80,1087.65
ER-118_sft,501.0,502.00,1507.27
ER-119_sft,327.0,328.70,1591.22
ER-120_sft,270.0,270.80,1555.03
ER-121_sft,236.0,237.50,1921.07
ER-122_sft,210.0,210.10,1743.88
ER-123_sft,190.0,191.30,1698.77
ER-124_sft,174.0,176.60,1825.78
ER-125_sft,186.0,188.10,2182.29
ER-126_sft,176.0,176.60,2015.85
antiwheel5_sft,6.0,6.00,0.00
b01_sft,80.0,80.00,0.10
b02_sft,83.0,83.00,0.18
b03_sft,142.0,142.00,0.34
b04_sft,61.0,61.00,0.13
b05_sft,53.0,53.00,0.10
b06_sft,122.0,122.00,0.51
b07_sft,112.0,112.00,0.26
b08_sft,106.0,106.00,0.37
b09_sft,220.0,220.00,1.12
b10_sft,86.0,86.00,0.32
b11_sft,88.0,88.00,0.41
b12_sft,174.0,174.00,1.26
b13_sft,165.0,165.00,0.68
b14_sft,226.0,226.00,0.88
b15_sft,313.0,313.00,2.88
b16_sft,131.0,131.00,0.75
b17_sft,128.0,128.00,1.17
b18_sft,212.0,212.00,4.28
berlin52_sft,1030.0,1032.20,0.36
brasil58_sft,13811.0,13884.10,1.46
c02_sft,137.0,137.00,9.69
c06_sft,63.0,63.00,4.78
c07_sft,98.0,98.00,7.94
c11_sft,26.0,26.00,3.04
c12_sft,44.0,44.00,7.70
d01_sft,120.0,120.00,28.70
d02_sft,220.0,220.00,61.63
d03_sft,1553.0,1553.00,3658.88
d04_sft,1935.0,1935.10,5905.62
d05_sft,3242.0,3243.50,16587.17
d06_sft,84.0,84.00,25.34
d07_sft,103.0,103.00,38.86
d08_sft,1071.0,1071.80,4165.12
d09_sft,1444.0,1446.30,8509.24
